,start,end,day,id
2076,['2019-08-01 00:00:00'],['2019-08-01 14:00:00'],0,133
2077,['2019-08-01 00:00:25'],['2019-08-01 14:00:25'],0,132
2078,['2019-08-01 00:00:26'],['2019-08-01 14:00:26'],0,131
2079,['2019-08-01 00:58:19'],['2019-08-01 13:58:19'],0,130
2080,['2019-08-01 00:00:59'],['2019-08-01 13:59:59'],0,129
2081,['2019-08-01 00:58:21'],['2019-08-01 13:58:21'],0,128
2082,['2019-08-01 00:00:53'],['2019-08-01 13:59:53'],0,127
2083,['2019-08-01 00:00:55'],['2019-08-01 13:59:55'],0,123
2084,['2019-08-01 00:00:31'],['2019-08-01 14:00:31'],0,121
2085,['2019-08-01 00:00:48'],['2019-09-15 23:59:48'],45,120
2086,['2019-08-01 00:00:28'],['2019-08-01 14:00:28'],0,118
2087,['2019-08-01 00:00:46'],['2019-09-15 23:59:46'],45,117
2088,['2019-08-01 00:00:23'],['2019-08-01 14:00:23'],0,116
2089,['2019-08-01 00:00:25'],['2019-08-01 14:00:25'],0,115
2090,['2019-08-01 00:00:54'],['2019-08-01 13:59:54'],0,114
2091,['2019-08-01 00:00:11'],['2019-09-15 23:59:11'],45,113
2092,['2019-08-01 00:00:21'],['2019-08-01 14:00:21'],0,112
2093,['2019-08-01 00:00:30'],['2019-08-01 14:00:30'],0,111
2094,['2019-08-01 00:00:11'],['2019-09-15 23:59:11'],45,110
2095,['2019-08-01 00:00:38'],['2019-09-15 23:59:38'],45,109
2096,['2019-08-01 00:00:45'],['2019-09-15 23:59:45'],45,108
2097,['2019-08-01 00:00:37'],['2019-09-15 23:59:37'],45,107
2098,['2019-08-01 00:00:12'],['2019-08-16 18:29:12'],15,106
2099,['2019-08-01 00:00:54'],['2019-08-01 13:59:54'],0,101
2100,['2019-08-01 00:00:28'],['2019-08-01 14:00:28'],0,97
2101,['2019-08-01 00:00:15'],['2019-09-15 23:59:15'],45,95
2102,['2019-08-01 00:00:58'],['2019-08-01 13:59:58'],0,94
2103,['2019-08-01 00:00:18'],['2019-09-15 23:59:18'],45,93
2104,['2019-08-01 00:00:12'],['2019-09-15 23:59:12'],45,92
2105,['2019-08-01 00:00:53'],['2019-08-01 13:59:53'],0,90
2106,['2019-08-01 00:00:14'],['2019-09-15 23:59:14'],45,87
2107,['2019-08-01 00:00:56'],['2019-08-01 13:59:56'],0,86
