,0,1,2
291,6066,60,4075
292,6069,60,4075
293,6077,60,4075
294,6082,60,4075
295,6087,60,4075
296,6092,60,4075
297,6096,60,4075
298,6100,60,4075
299,6104,60,4075
300,6110,60,4075
301,834,60,5155
302,6114,60,4075
303,6119,60,4075
304,6125,60,4075
305,6130,60,4075
306,6135,60,4075
307,6137,60,4075
308,6141,60,4075
309,6143,60,4075
310,6148,60,4075
311,6156,60,4075
312,835,60,5167
313,6161,60,4075
314,6166,60,4075
315,6171,60,4075
316,6175,60,4075
317,6179,60,4075
318,6185,60,4075
319,6187,60,4075
320,6189,60,4075
321,6193,60,4075
322,6200,60,4075
323,836,60,5166
324,6204,60,4075
325,6207,60,4075
326,6214,60,4075
327,6220,60,4075
328,6222,60,4075
329,6230,60,4075
330,6235,60,4075
331,6240,60,4075
332,6243,60,4075
333,6245,60,4075
334,720,60,5169
335,837,60,5178
336,6248,60,4075
337,6254,60,4075
338,6255,60,4075
339,6263,60,4075
340,6267,60,4075
341,6273,60,4075
342,6277,60,4075
343,6282,60,4075
344,6287,60,4075
345,6291,60,4075
346,838,60,5165
347,6295,60,4075
348,6297,60,4075
349,6302,60,4075
350,6306,60,4075
351,6310,60,4075
352,6315,60,4075
353,6319,60,4075
354,6320,60,4075
355,6325,60,4075
356,6327,60,4075
357,839,60,5021
358,6329,60,4075
359,6335,60,4075
360,6342,60,4075
361,6347,60,4075
362,6351,60,4075
363,6357,60,4075
364,6362,60,4075
365,6366,60,4075
366,6371,60,4075
367,6373,60,4075
368,840,60,257315
369,6377,60,4075
370,6385,60,4075
371,6386,60,4075
372,6392,60,4075
373,6394,60,4075
374,6395,60,4075
375,6403,60,4075
376,6406,60,4075
377,6413,60,4075
378,6417,60,4075
379,841,60,9361
380,6422,60,4075
381,6427,60,4075
382,6434,60,4075
383,6439,60,4075
384,6444,60,4075
385,6448,60,4075
386,6451,60,4075
387,6458,60,4075
388,6463,60,4075
389,6469,60,4075
390,842,60,5170
391,6474,60,4075
392,6477,60,4075
393,6482,60,4075
394,6487,60,4075
395,6492,60,4075
396,6494,60,4075
397,6498,60,4075
398,6502,60,4075
399,6507,60,4075
